,Lane,Summoner,Champion,Kills,Deaths,Assists,Killing_Spree,Multikills,Total_Damage,Damage_To_Objectives,Damage_To_Turrets,Damage_Taken,Gold_Earned,Champ_Level,Wards_Bought,Vision_Score,Crowd_Controls,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,champion_name
3498,JUNGLE,hqEkPzedJjUHvadHoEuQeOaNhzYvKGL_sDUjfpDyML3JZg,5,4,6,14,4,1,16945,41984,881,42101,15739,18,13,70,25,3047,3026,1057,3071,3053,1412,3364,XinZhao
3530,JUNGLE,CK5xqwbuJ_ZfCRhrWRI9321Yu_xYq-IrkNKrCDVKgQ_A7js,48,1,9,9,0,1,10238,2738,570,32500,7394,12,0,13,32,1413,3077,3143,2422,0,0,3364,Trundle
3551,JUNGLE,6ltVqVNnOZQMy3B3AYXHWEETA-Yn4JSJY5bt78Y0mYDKcDk,64,1,3,1,0,1,4155,23311,2649,15729,6444,10,3,7,9,1412,3047,2055,2031,3082,1011,3340,LeeSin
3553,JUNGLE,GhsCCGaHA5jy6oswPlv8z8XmSX39fnPbrOLI0iMsmDpNBKQ,59,12,7,16,4,2,20748,15627,978,23748,14530,16,5,37,34,3026,3748,3147,3134,1412,3117,3364,JarvanIV
3570,JUNGLE,yhDrLxB8DjhqZHJ3Qoj4UyEDaIRRlO6Q909uoX8uF6N4cA,76,5,4,2,3,1,23924,34045,1815,37325,14885,17,1,26,1,1414,3020,1026,3916,3100,3157,3340,Nidalee
3597,JUNGLE,_EfrRusPK1SlDgF84YAQUXENeCXfZ52eE5_3vwjh0PvkMA,76,4,4,13,2,1,11567,22316,2640,22257,10254,14,5,25,6,1402,3111,2420,3100,3108,1052,3364,Nidalee
3612,JUNGLE,4UrvhC5AH2qapnfHVVDnvgrl8iJvtNZJqAwsZjz74jT7MSM,33,8,1,20,5,2,15237,14522,4395,26200,12886,15,4,39,50,3047,3800,1043,3075,1413,1057,3340,Rammus
3620,JUNGLE,qzb33cyHn6zFYh0ktvcItQZmv0TSawlTBVtxEl7zBR-qww,64,7,3,3,4,2,11978,6285,437,27209,10954,13,3,25,18,3111,1036,1412,3026,3071,1028,3340,LeeSin
3624,JUNGLE,kOeTxzNXrQQsB6pP9HC-H1uXYlNXWJNq_iwngjU7iAT2LFJA_IrXdZSm,141,8,7,12,3,2,21267,20818,2334,40670,14809,17,4,27,25,1400,3026,3047,3071,3812,0,3364,Kayn
3631,JUNGLE,qg2FgsiqdTqhmMsKFtD97utmk7MwRYszm6gCXM3nJP0hG10,64,12,8,13,4,1,18227,26000,2198,28926,13600,15,6,28,20,2421,3142,0,3071,1400,3117,3340,LeeSin
3654,JUNGLE,W6S-dE84nKknnHbZscVN434fKHGlz-YO_ngfLK3qecca9w,9,5,13,7,3,1,16444,10860,55,34867,10948,15,8,36,59,3157,1402,0,1052,3020,3165,3364,Fiddlesticks
3669,JUNGLE,9_aSYKp66HMJhlccQ149UYoqLUUZvbD6bzGPEuCqT9oBDktdasfCM3LN,28,14,3,6,10,2,22705,32811,4958,23495,14565,16,0,24,17,1402,3041,3089,3020,3100,1026,3340,Evelynn
3681,JUNGLE,b84IPf7ET5keH5PKCef1WDnK-CO3KVp2fuQraPYdePDRTQ,113,3,4,5,2,1,9139,14297,681,17139,7521,11,5,23,24,1401,2031,3047,3067,3082,2055,3364,Sejuani
3693,JUNGLE,JPbKUctMLj55bCbBRWmKjpJEZ5P-EEiSEOWZoUKmacBc6E4fhGfNMpds,64,7,5,6,4,1,10575,25311,0,28884,10937,14,5,22,14,1037,3211,3111,3071,1400,3052,3340,LeeSin
3696,JUNGLE,Kus0HrRTBi9BoCuMcqvMlOHrkiQpjBvEslF2552yoESv7w,20,4,2,13,4,1,4962,38158,512,28965,9538,13,8,28,18,1401,2031,2055,3111,3067,3742,3340,Nunu
3702,JUNGLE,_EfrRusPK1SlDgF84YAQUXENeCXfZ52eE5_3vwjh0PvkMA,76,25,12,5,11,3,46034,38421,5488,49600,19880,18,2,45,8,1402,3047,3157,3100,3027,3089,3364,Nidalee
3708,JUNGLE,5EV4DYIIpBSXTr7G2WXEKxYbrpL2-1CnFu2TFsewZox5IwI,120,6,9,6,2,1,10557,13778,213,35063,11670,15,4,31,18,1412,3047,2055,3078,1029,3742,3364,Hecarim
3733,JUNGLE,AA0E5QPRe_jw4nVVl94lIrBVyL2B1s_Kh8A7PzMOdn3qpNo,32,0,4,1,0,0,2024,605,0,14488,5061,10,1,12,9,1401,2031,3047,0,0,0,3340,Amumu
3742,JUNGLE,6XE-v2cZJyLbUiGwfeTomozgpDKX140QvzDSfuDyiTXn4OQ,120,10,1,14,9,2,16590,18322,5277,29781,13281,15,2,20,11,1413,3076,3047,3082,3065,3078,3364,Hecarim
3770,JUNGLE,Y8kA4ZMoukw0vTnOg_qD8pThJ3pk_3bbRZ2ZMb_-88G-1ok,113,0,1,2,0,0,1749,4759,0,14594,5746,10,2,5,7,2031,2055,3111,3067,1029,1401,3364,Sejuani
3790,JUNGLE,V8wkeDTRhJF_O4YT5WbV8Dkoc9yRn0sm7KrCPJUtkhaRVX8,60,1,4,4,0,1,7042,16939,0,14749,6727,11,3,28,17,0,3916,3020,1402,0,0,3364,Elise
3794,JUNGLE,9afp3HDZNNTrC6IvOGFM_8TKJwc8Bak0D4Oazx1F7Vy0fA,163,12,7,13,3,3,26437,6763,1179,23330,13285,16,1,30,22,3157,1082,1402,3020,3165,1058,3364,Taliyah
