,Lane,Summoner,Champion,Kills,Deaths,Assists,Killing_Spree,Multikills,Total_Damage,Damage_To_Objectives,Damage_To_Turrets,Damage_Taken,Gold_Earned,Champ_Level,Wards_Bought,Vision_Score,Crowd_Controls,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,champion_name
5406,MIDDLE,_sVU2gU9ULAv4tmUkIs1uTDHP0y_AWDEyQNotrOYrXjmPz0,238,9,2,3,4,1,16631,15942,8198,13076,12151,15,4,26,2,3047,3814,3134,3142,3147,2055,3364,Zed
5409,MIDDLE,KkpfRu1DstH8m7NfCusct_gLDtlmVNFdG0V90O4drGW7nA,42,11,3,7,8,2,18342,10666,5141,13344,13315,15,1,14,4,3020,3031,3078,3155,3094,2033,3340,Corki
5471,MIDDLE,UydKp9BHPAnbCaRAXiUcliLi5c6U-74ywcOaMavXbA,4,9,9,8,4,3,32390,6620,2873,30758,15981,17,6,29,56,3089,3905,3100,3027,3117,0,3340,TwistedFate
5474,MIDDLE,XST3-wK34HF9TK-6BduhDXdItb06WBiayxnwMYbeVwCDLA,134,2,4,4,0,1,13423,1520,1520,14019,10437,15,2,13,25,1056,2420,3165,3285,3020,3108,3364,Syndra
5542,MIDDLE,rll2_hDdy58Dwy8Gkzc3mwaNk7ZF97yOKc1iJJIBORn1M5U,90,1,3,3,0,1,11497,4842,3104,7775,8481,13,0,14,36,3285,3020,3102,0,1082,1056,3340,Malzahar
5567,MIDDLE,LnW6tpM5k1Rd1j91njESgB6Rri82VU-ynnfmWkOhsHpRul8,1,3,4,3,2,1,9840,0,0,10695,7218,11,5,16,17,3152,2031,3020,3041,1052,1026,3364,Annie
5578,MIDDLE,0diYvCfG2JJUi1epIGQqB6RQAXZ7712AmvvzvEOtMvKnrCU,34,2,4,11,0,1,11733,125,0,20145,7511,13,0,9,38,1056,3027,2424,3111,3070,3108,3364,Anivia
5592,MIDDLE,JPv9c9jMOeqlt_al3zilZ15WuQ7X6L901hMTrDLdB_mcZ24,13,3,2,2,2,1,8048,1069,1069,7838,8309,13,3,18,12,1052,3040,2031,3916,3020,0,3340,Ryze
5612,MIDDLE,odSovHb4jZDtl3ryq0YwHfG6ZZCutRH9TX5rD8bKJ5AeKA,42,1,4,10,0,1,10425,6528,4807,9774,8339,13,0,13,0,3094,3078,2033,3020,0,0,3340,Corki
5613,MIDDLE,XNk9aIV_vMkwqTAu0LIxEXnxm9-ABzkU136-C2PRRfAIvlc,246,2,11,4,0,1,10642,2208,695,21070,6415,11,0,10,16,3071,3134,0,3047,0,0,3340,Qiyana
5614,MIDDLE,Zz12SnvnJD3S4y9GuTFYotX4JG5h2q764rHBckkZTNRP6g,246,7,7,7,3,1,17155,1016,1016,25690,10704,14,0,22,23,3111,3147,3053,3142,2033,0,3340,Qiyana
5649,MIDDLE,KGmjcxTngT5dutuGNKGw2mNFWq2ILteyan9EqZOUZjbBOY3pVuICUmwT,142,6,5,14,2,2,21043,4783,4728,13936,10378,14,3,25,22,1056,3285,3165,1082,1052,3020,3363,Zoe
